学科,年级,学期,知识标签,题型,题目,题目图片,选项A,选项B,选项C,选项D,答案,解析,难度
英语,五年级,下册,位置表达,句子选择,别人问去博物馆怎么走，哪一句回答更合适？,,The museum is my favorite lesson.,I can see a new museum book.,Go along Green Street and it is on your right.,Green Street is very happy today.,C,回答路线时，要说清沿哪条路走和位置。,2
英语,五年级,下册,位置表达,情景对话,在医院门口问邮局位置，更合适的回答是哪一句？,,It is a useful postcard.,I send letters every week.,The hospital is very clean.,It's between the bank and the cinema.,D,between ... and ... 可以说明地点在两者之间。,2
英语,五年级,下册,食物词汇,词义判断,Which word is something you can eat for breakfast?,,bread,library,Monday,teacher,A,bread 表示面包，是早餐里常见的食物。,2
英语,五年级,下册,食物词汇,单词认读,“vegetable salad” 最接近哪一项？,,水果商店,蔬菜沙拉,热牛奶,校门口,B,vegetable salad 表示蔬菜沙拉。,2
英语,五年级,下册,食物词汇,句意理解,“Too much cola is bad for your teeth.” 最接近哪一项？,,喝牛奶会让人困,多吃苹果会跑更快,喝太多可乐对牙齿不好,牙齿喜欢天天吃糖,C,句子提醒我们太多可乐对牙齿不好。,2
英语,五年级,下册,写话表达,句子选择,给朋友发周末留言，哪一句更适合作为开头？,,Science museum is very tall.,Saturday under the bus stop.,My friend blue and happy.,I'm going to visit the science museum this Saturday.,D,简单写话开头要把时间和计划说清楚。,2
英语,五年级,下册,短文理解,短文理解,短文：Jenny likes apples. She drinks milk every morning. Jenny 每天早上喝什么？,,牛奶,橙汁,茶,可乐,A,短文里明确写着 Jenny 每天早上喝牛奶。,2
英语,五年级,下册,短文理解,阅读理解,短文：Our class will plant trees on Friday. We need shovels and water. 周五这个班要做什么？,,开运动会,去植树,排练节目,参观动物园,B,根据短文，周五全班要去植树。,2
英语,五年级,下册,短文理解,句型判断,Which sentence tells a simple plan?,,I went to the farm last week.,She likes yellow best.,I am going to make a fruit list after dinner.,There are three books here.,C,am going to ... 常用来表达计划。,2
英语,六年级,上册,情景对话,情景对话,别人问你为什么参加科学社团，更合适的回答是哪一句？,,My club room is blue.,There are ten desks.,I go home by bike.,Because I enjoy experiments.,D,回答原因时，可以用 Because ...,2
英语,六年级,上册,情景对话,句子选择,“我认为我们应该先做计划。” 更合适的英文是哪一句？,,I think we should make a plan first.,I think a plan is under the chair.,We first make should plan.,I make a plan yesterday first.,A,这句话要表达“我认为”和“应该先做计划”。,2
英语,六年级,上册,情景对话,情景对话,在校园义卖活动中想邀请同学加入，哪一句更合适？,,What time is the ruler?,Would you like to join us?,The desk is next to me.,I bought a new schoolbag.,B,邀请别人加入活动时，可以用 Would you like to join us?,2
英语,六年级,上册,时间表达,时间词汇,“the day after tomorrow” 最接近什么意思？,,昨天,今天,后天,明天,C,the day after tomorrow 表示后天。,2
英语,六年级,上册,时间表达,活动安排,“We are leaving at 8:15 and coming back before noon.” 这句话主要在说明什么？,,午餐吃什么,谁来打扫教室,要买几张车票,出发和返回时间安排,D,句子里给出了出发时间和返回时间。,2
英语,六年级,上册,时间表达,句意理解,“The meeting has been put off until Friday.” 最接近哪一项？,,会议改到了周五,会议已经结束了,周五不能开会,会议每周五都开,A,put off until Friday 表示推迟到周五。,2
英语,六年级,上册,人物关系,词义判断,在句子“My cousin is in Grade Six.”里，cousin 最接近什么意思？,,班主任,表兄弟姐妹,邻居阿姨,运动鞋,B,cousin 表示表兄弟姐妹。,2
英语,六年级,上册,人物关系,单词认读,句子“My uncle is a doctor.” 里，doctor 最接近哪一项？,,司机,厨师,医生,画家,C,doctor 表示医生。,2
英语,六年级,上册,人物关系,情景对话,介绍“他是我最好的朋友”，哪一句最合适？,,He likes Friday best.,His pencil is very long.,She is reading a story.,He is my best friend.,D,介绍人物关系时，可以说 He is my best friend.,2
英语,六年级,上册,常识词汇,词义判断,Which word is about a job that helps sick people?,,nurse,bridge,autumn,careful,A,nurse 表示护士，是照顾病人的职业。,2
英语,六年级,上册,句型理解,句型判断,Which sentence gives advice correctly?,,You should takes notes carefully.,You should take notes carefully.,Take notes should you carefully.,You carefully notes should.,B,should 后面接动词原形，所以第一句正确。,3
英语,六年级,上册,句型理解,阅读理解,短文：Linda wants to be a teacher. She often helps younger students. Linda 长大后想成为什么？,,医生,厨师,老师,飞行员,C,短文里明确写着 Linda 想成为老师。,2
英语,六年级,上册,句型理解,短文理解,"短文：Ben missed the bus, so he walked to school. Why did Ben walk to school?",,Because he likes running.,Because the school is closed.,Because his bike is new.,Because he missed the bus.,D,短文说明 Ben 因为错过公交车，所以步行去学校。,2
英语,六年级,下册,旅行场景,情景对话,在火车站想问列车什么时候出发，更合适的是哪一句？,,When does the train leave?,Why is the train blue?,How old is the train?,Where do pencils come from?,A,询问列车出发时间时，可以说 When does the train leave?,2
英语,六年级,下册,旅行场景,活动安排,"“First we check in, then we visit the old town after lunch.” 第一步要做什么？",,先参观古镇,先办理入住,先去机场送人,先写旅行日记,B,句子里 first 后面就是第一步安排。,2
英语,六年级,下册,旅行场景,句子选择,“我们最好带上一张地图。” 更合适的英文是哪一句？,,We take map yesterday.,A map is better than lunch.,We'd better take a map.,We are map on the desk.,C,We'd better ... 可以表达“最好……”。,2
英语,六年级,下册,健康表达,句意理解,“You'd better drink more water and go to bed early.” 最接近哪一项？,,你应该少喝水多运动,你最好晚点睡再吃糖,你需要马上去火车站,你最好多喝水并且早点睡,D,这句话给出了健康方面的建议。,2
英语,六年级,下册,健康表达,情景对话,同学发烧了，哪一句建议最合适？,,You should see a doctor.,You should climb the hill.,You should clean the window.,You should buy a toy train.,A,身体不舒服时，最合适的建议是去看医生。,2
英语,六年级,下册,健康表达,句型判断,Which sentence gives good advice?,,Ice cream is in my schoolbag.,Don't eat too much ice cream.,Too much ice cream are cold.,Eat because the doctor is blue.,B,这句话给出了清楚合理的建议。,2
英语,六年级,下册,位置表达,短语理解,“at the end of the street” 最接近什么意思？,,在街道中间,在街道左边第一家,在街道尽头,在街道对面的公园,C,at the end of ... 表示“在……尽头”。,2
英语,六年级,下册,位置表达,句子选择,“博物馆就在书店后面。” 更合适的英文是哪一句？,,The museum behinds the bookshop.,The bookshop is a museum.,Behind the museum is reading.,The museum is behind the bookshop.,D,behind 表示“在……后面”。,2
英语,六年级,下册,位置表达,情景对话,别人问怎么去地铁站，更合适的回答是哪一句？,,Go straight and you'll see it on the left.,The subway station likes music.,I go there last Sunday.,Left is my favorite color.,A,回答路线时，要说清走法和方位。,2
英语,六年级,下册,阅读理解,阅读理解,短文：Our group will collect rubbish in the park on Saturday morning. 这个小组周六早上要做什么？,,去电影院看电影,去公园捡垃圾,去图书馆借书,去商店买礼物,B,短文里写着这个小组周六早上去公园捡垃圾。,2
英语,六年级,下册,阅读理解,短文理解,"短文：Anna lost her ticket, so she asked the guide for help. Why did Anna ask for help?",,Because she found a map.,Because she wanted some water.,Because she lost her ticket.,Because she bought a gift.,C,根据短文，Anna 是因为丢了票才去求助。,2
英语,六年级,下册,阅读理解,句型判断,Which sentence can be used as a clear travel note?,,Gate Three is happy.,Nine is a big station.,Meet please because travel.,Please meet at Gate Three at 9:00.,D,清楚的出行提醒要说出地点和时间。,2
语文,一年级,上册,,入学教育,升国旗时，我们应该怎样做？,,立正敬礼,继续说话,背对国旗,随意走动,A,升国旗时要庄重，立正并向国旗敬礼。,1
语文,一年级,上册,,入学教育,“我是中国人”这句话更能说明什么？,,我们都喜欢游戏,我们有共同的祖国,我们都住在学校,我们都爱吃水果,B,入学教育通过“我是中国人”帮助孩子认识自己的身份。,1
语文,一年级,上册,,口语交际,早上到校见到老师，最合适的说法是什么？,,你吃了吗,快让开,老师早上好,我不想上学,C,见到老师要主动、礼貌地问好。,1
语文,一年级,上册,,课堂习惯,上课想回答问题时，应该先怎么做？,,直接站起来说,和同桌聊天,先走到讲台前,先举手再发言,D,课堂发言要先举手。,1
语文,一年级,上册,,书写规范,写字时，胸口和桌子之间最好保持多远？,,一拳左右,紧贴桌子,越近越好,趴在桌上,A,写字时要做到“三个一”，胸离桌子一拳左右。,2
语文,一年级,上册,,书写规范,写字时，眼睛和书本之间最好保持多远？,,几乎贴着书本,一尺左右,完全看不见字,越远越好,B,写字时眼离书本约一尺更合适。,2
语文,一年级,上册,,书写规范,写字时，手指离笔尖大约多远更合适？,,贴着笔尖,握到笔杆最上面,一寸左右,随便哪里都行,C,写字时手离笔尖约一寸。,2
语文,一年级,上册,,笔画名称,汉字“一”的笔画名称是什么？,,竖,撇,点,横,D,“一”只有一笔，叫横。,1
语文,一年级,上册,,笔顺规则,写“十”字时，第一笔应该先写什么？,,横,竖,撇,捺,A,“十”一般先写横，再写竖。,1
语文,一年级,上册,,笔画数,“口”字一共有几画？,,2画,3画,4画,5画,B,“口”按笔顺写完一共3画。,1
语文,一年级,上册,,笔画数,“日”字一共有几画？,,3画,5画,4画,6画,C,“日”共有4画。,1
语文,一年级,上册,,笔画数,“山”字一共有几画？,,2画,4画,5画,3画,D,“山”共有3画。,1
语文,一年级,上册,,会意识字,两个“木”合在一起，组成哪个字？,,林,本,森,禾,A,两个“木”组成“林”。,1
语文,一年级,上册,,会意识字,两个“人”排在一起，组成哪个字？,,众,从,个,大,B,两个“人”组成“从”。,1
语文,一年级,上册,,会意识字,“日”和“月”合在一起，组成哪个字？,,早,白,明,朋,C,“日月明”是典型会意字。,1
语文,一年级,上册,,会意识字,“小”和“大”合在一起，组成哪个字？,,尘,男,从,尖,D,“小大尖”是典型会意字。,1
语文,一年级,上册,,会意识字,“田”和“力”合在一起，组成哪个字？,,男,苗,思,加,A,“田力男”是常见的会意识字例子。,1
语文,一年级,上册,,象形识字,下面哪个字最像太阳？,,月,日,山,田,B,“日”最早像太阳的样子。,1
语文,一年级,上册,,象形识字,下面哪个字最像月亮？,,火,口,月,人,C,“月”像弯弯的月亮。,1
语文,一年级,上册,,象形识字,下面哪个字最像连绵的高山？,,水,木,田,山,D,“山”像起伏的山峰。,1
语文,一年级,上册,,象形识字,下面哪个字最像流动的河水？,,水,日,月,土,A,“水”像流动的水纹。,1
语文,一年级,上册,,象形识字,下面哪个字最像跳动的火苗？,,人,火,口,中,B,“火”像燃烧的火焰。,1
语文,一年级,上册,,识字应用,表示“眼睛”的汉字是哪一个？,,耳,口,目,手,C,“目”表示眼睛。,1
语文,一年级,上册,,识字应用,下面哪个字表示数字“3”？,,二,上,土,三,D,“三”表示数字3。,1
语文,一年级,上册,,学习习惯,用完尺子后，更合适的做法是什么？,,放回书包或文具盒,扔在地上,送给别人不说话,夹在脚边,A,学习用品用完要及时收好。,1
语文,一年级,上册,,拼音基础,下面哪一组都是单韵母？,,b、p、m,a、o、e,ai、ei、ui,zhi、chi、shi,B,a、o、e都是单韵母。,1
语文,一年级,上册,,拼音基础,下面哪个不是单韵母？,,a,o,ai,e,C,ai是复韵母，不是单韵母。,1
语文,一年级,上册,,声母认读,按顺序，“b、p、m、f”后面是哪个声母？,,a,ai,yi,d,D,按顺序是b、p、m、f、d。,1
语文,一年级,上册,,声母认读,下面哪个字母是声母？,,n,a,o,iu,A,n是声母。,1
语文,一年级,上册,,韵母认读,下面哪个是复韵母？,,a,ei,u,m,B,ei属于复韵母。,1
语文,一年级,上册,,整体认读音节,下面哪个音节是整体认读音节？,,ba,po,zhi,me,C,zhi要整体认读。,1
语文,一年级,上册,,整体认读音节,下面哪个音节要整体认读？,,li,da,ne,yi,D,yi是整体认读音节。,1
语文,一年级,上册,,整体认读音节,下面哪个音节也是整体认读音节？,,wu,gu,hu,nu,A,wu要整体认读。,1
语文,一年级,上册,,整体认读音节,表示“小鱼”的音节是哪一个？,,yue,yu,ya,yong,B,“鱼”的音节是yu。,1
语文,一年级,上册,,拼读练习,把“b”和“a”拼起来，正确的音节是什么？,,ab,bi,ba,bo,C,声母b和韵母a拼成ba。,1
语文,一年级,上册,,拼读练习,把“m”和“ǐ”拼起来，正确的音节是什么？,,mā,mī,mě,mǐ,D,m和ǐ拼成mǐ。,1
语文,一年级,上册,,拼读练习,把“l”和“ǎ”拼起来，正确的音节是什么？,,lǎ,lā,lǐ,lu,A,l和ǎ拼成lǎ。,1
语文,一年级,上册,,三拼音节,把“h、u、ā”连起来，正确的音节是什么？,,hā,huā,hū,hē,B,h、u、ā可以拼成huā。,1
语文,一年级,上册,,三拼音节,把“j、i、ā”连起来，正确的音节是什么？,,jā,jua,jiā,jiao,C,j、i、ā可以拼成jiā。,1
语文,一年级,上册,,韵母认读,音节“bā”中的韵母是什么？,,b,ai,ua,a,D,“bā”的声母是b，韵母是a。,1
语文,一年级,上册,,韵母认读,音节“huǒ”中的韵母是什么？,,uo,h,o,ou,A,“huǒ”的声母是h，韵母是uo。,2
语文,一年级,上册,,声母认读,音节“xiǎo”中的声母是什么？,,i,x,ao,xi,B,“xiǎo”的声母是x。,1
语文,一年级,上册,,拼音规则,“j”和“ü”组成音节时，应该写成哪一个？,,jü,jiu,ju,jia,C,j和ü组成音节时，ü上两点省写成ju。,2
语文,一年级,上册,,拼音规则,“q”和“ü”组成音节时，应该写成哪一个？,,qü,qiu,qia,qu,D,q和ü组成音节时，ü上两点省写成qu。,2
语文,一年级,上册,,字音辨认,“鱼”的正确拼音是哪一个？,,yú,wú,yǔ,yúe,A,“鱼”的拼音是yú。,1
语文,一年级,上册,,字音辨认,“鹅”的正确拼音是哪一个？,,ē,é,ei,e,B,“鹅”的拼音是é。,1
语文,一年级,上册,,字音辨认,“马”的正确拼音是哪一个？,,mā,má,mǎ,mà,C,“马”的拼音是mǎ。,1
语文,一年级,上册,,声调认读,表示“妈妈”的音节，应该选哪一个？,,má,mǎ,mà,mā,D,“妈”读第一声。,1
语文,一年级,上册,,声调认读,表示“小马”的“马”，应该选哪一个音节？,,mǎ,mā,má,mà,A,“马”读第三声。,1
语文,一年级,上册,,声调认读,表示“骂人”的“骂”，应该选哪一个音节？,,mā,mà,má,mǎ,B,“骂”读第四声。,1
语文,一年级,上册,,字音辨认,汉字“十”的正确音节是什么？,,sí,shē,shí,sī,C,“十”读shí。,1
语文,一年级,上册,,整体认读音节,音节“ri”属于哪一类？,,单韵母,复韵母,三拼音节,整体认读音节,D,ri是整体认读音节。,1
语文,一年级,上册,,整体认读音节,下面哪个音节不是整体认读音节？,,hua,zhi,yi,wu,A,hua不是整体认读音节。,1
语文,一年级,上册,,三拼音节,下面哪个音节属于三拼音节？,,zhi,gua,ri,ye,B,gua由g、u、a三部分组成。,1
语文,一年级,上册,,拼音作用,学好拼音最能帮助我们做什么？,,跑得更快,画得更直,认字和读书,跳得更高,C,拼音能帮助识字、阅读和查字典。,1
语文,一年级,上册,,课文理解,《天地人》一课里，和“你、我”放在一起的是谁？,,山,云,月,他,D,《天地人》中有“你我他”。,1
语文,一年级,上册,,课文理解,《金木水火土》里，天地是怎样分开的？,,分上下,分左右,分远近,分黑白,A,课文原句是“天地分上下”。,1
语文,一年级,上册,,课文理解,《金木水火土》里，照着今古的是什么？,,云雨,日月,花草,山水,B,课文原句是“日月照今古”。,1
语文,一年级,上册,,课文理解,《口耳目》里，哪个字和嘴巴有关？,,耳,目,口,手,C,“口”表示嘴巴。,1
语文,一年级,上册,,课文理解,《日月明》里，“日月”合起来表示什么？,,黑暗,安静,高大,明亮,D,“日月明”表示明亮。,1
语文,一年级,上册,,课文理解,《对韵歌》里，云对什么？,,雨,山,花,草,A,课文中有“云对雨”。,1
语文,一年级,上册,,课文理解,《对韵歌》里，雪对什么？,,雷,风,山,月,B,课文中有“雪对风”。,1
语文,一年级,上册,,课文理解,《咏鹅》里，鹅是怎样向天歌唱的？,,低头向地歌,张口对水歌,曲项向天歌,摆尾朝云歌,C,《咏鹅》中的句子是“曲项向天歌”。,1
语文,一年级,上册,,课文理解,《秋天》里，天气有什么变化？,,天气热了,天气更冷了,天气刮风了,天气凉了,D,课文开头写“天气凉了”。,1
语文,一年级,上册,,课文理解,《秋天》里，树叶变成了什么颜色？,,黄色,红色,蓝色,黑色,A,课文写到“树叶黄了”。,1
语文,一年级,上册,,课文理解,《小小的船》里，弯弯的月儿像什么？,,圆圆的球,小小的船,尖尖的叶子,高高的山,B,课文把弯弯的月儿比作小小的船。,1
语文,一年级,上册,,课文理解,《小小的船》里，“我”看见了什么？,,黄黄的土地和小河,红红的花朵和小草,闪闪的星星和蓝蓝的天,高高的楼房和大树,C,课文写“只看见闪闪的星星蓝蓝的天”。,1
语文,一年级,上册,,课文理解,《江南》里，人们可以采什么？,,梅花,柳叶,稻谷,莲,D,课文开头是“江南可采莲”。,1
语文,一年级,上册,,课文理解,《四季》里，草芽尖尖，它说自己是什么季节？,,春天,夏天,秋天,冬天,A,草芽尖尖对小鸟说：“我是春天。”,1
语文,一年级,上册,,课文理解,《四季》里，荷叶圆圆，它说自己是什么季节？,,春天,夏天,秋天,冬天,B,荷叶圆圆对青蛙说：“我是夏天。”,1
语文,一年级,上册,,课文理解,《四季》里，谷穗弯弯，它说自己是什么季节？,,春天,夏天,秋天,冬天,C,谷穗弯弯鞠着躬说：“我是秋天。”,1
语文,一年级,上册,,课文理解,《四季》里，雪人大肚子一挺，它说自己是什么季节？,,春天,夏天,秋天,冬天,D,雪人大肚子一挺说：“我就是冬天。”,1
语文,一年级,上册,,课文理解,《画》这首诗里，近听水怎么样？,,无声,很响,很急,很深,A,诗句是“近听水无声”。,1
语文,一年级,上册,,课文理解,《画》这首诗里，人走近以后，鸟会怎样？,,马上飞走,不会惊飞,叫个不停,躲进水里,B,诗句是“人来鸟不惊”。,1
语文,一年级,上册,,课文理解,《大小多少》里，“一个大，一个小”后面写的是哪一组？,,一只白兔一条鱼,一棵大树一朵花,一头黄牛一只猫,一把尺子一本书,C,课文原句是“一头黄牛一只猫”。,1
语文,一年级,上册,,课文理解,《大小多少》里，“一边多，一边少”后面写的是哪一组？,,一头牛一棵树,一支笔一本书,一朵花一片云,一群鸭子一只鸟,D,课文原句是“一群鸭子一只鸟”。,1
语文,一年级,上册,,课文理解,《升国旗》里，五星红旗是什么？,,我们的国旗,我们的校旗,我们的队旗,我们的班旗,A,五星红旗是我们的国旗。,1
语文,一年级,上册,,课文理解,《升国旗》里，国旗升起时我们要怎么做？,,坐着看,立正敬礼,边走边说,低头玩手,B,国旗升起时要立正、敬礼。,1
语文,一年级,上册,,课文理解,《影子》里，影子常常怎么样？,,跑得比我快,躲在树上,跟着我,飞到天上,C,课文写“影子常常跟着我”。,1
语文,一年级,上册,,课文理解,《影子》里，影子有时在前，有时在哪里？,,在水里,在天上,在门外,在后,D,课文写“影子在前，影子在后”。,1
语文,一年级,上册,,课文理解,《比尾巴》里，谁的尾巴好像一把伞？,,松鼠,猴子,兔子,公鸡,A,松鼠的尾巴好像一把伞。,1
语文,一年级,上册,,课文理解,《比尾巴》里，谁的尾巴最好看？,,老牛,孔雀,小狗,鸭子,B,孔雀的尾巴最好看。,1
语文,一年级,上册,,课文理解,《青蛙写诗》里，小蝌蚪来给青蛙当什么？,,小句号,小问号,小逗号,小书名号,C,小蝌蚪说要给青蛙当个小逗号。,1
语文,一年级,上册,,课文理解,《青蛙写诗》里，池塘里的水泡泡来当什么？,,小逗号,小引号,小顿号,小句号,D,水泡泡说可以当个小句号。,1
语文,一年级,上册,,课文理解,《明天要远足》里，小女孩睡不着是因为想到什么？,,想到明天要远足,担心下大雨,想马上回家,不想见朋友,A,课文写小女孩因为想到远足而激动得睡不着。,1
语文,一年级,上册,,课文理解,《大还是小》里，什么时候“我”觉得自己很大？,,让妈妈抱着的时候,自己穿衣服的时候,不会系鞋带的时候,看不懂字的时候,B,会自己做事情时，“我”觉得自己很大。,2
语文,一年级,上册,,课文理解,《项链》里，小娃娃的项链是用什么穿成的？,,小草和树叶,星星和月亮,海螺和贝壳,花朵和石头,C,课文写小娃娃把海螺和贝壳穿成了项链。,1
语文,一年级,上册,,课文理解,《雪地里的小画家》里，谁在洞里睡觉没有参加画画？,,小鸡,小鸭,小马,青蛙,D,青蛙在洞里睡着了，没有参加画画。,1
语文,一年级,上册,,课文理解,《雪地里的小画家》里，小鸡在雪地里画了什么？,,竹叶,梅花,月牙,枫叶,A,课文写“小鸡画竹叶”。,1
语文,一年级,上册,,标点符号,一句表示疑问的话，句末通常用哪个标点？,,句号,问号,逗号,书名号,B,表示提问的句子，句末常用问号。,1
语文,一年级,上册,,标点符号,一句表示赞叹的话，句末更常用哪个标点？,,句号,顿号,感叹号,分号,C,表示赞叹、惊喜时常用感叹号。,1
语文,一年级,上册,,标点符号,一句话说完了，句末通常用哪个标点？,,问号,感叹号,省略号,句号,D,陈述句句末通常用句号。,1
语文,一年级,上册,,量词运用,下面哪个量词最适合“一（ ）鸟”？,,只,条,本,朵,A,鸟通常用“只”来搭配。,1
语文,一年级,上册,,量词运用,下面哪个量词最适合“一（ ）鱼”？,,朵,条,本,把,B,鱼通常用“条”来搭配。,1
语文,一年级,上册,,词语搭配,下面哪个词最适合填“蓝蓝的（ ）”？,,苹果,尺子,天空,衣服,C,“蓝蓝的天空”是常见搭配。,1
语文,一年级,上册,,词语搭配,下面哪个词最适合填“弯弯的（ ）”？,,大树,石头,书包,月儿,D,“弯弯的月儿”是课文中的说法。,1
语文,一年级,上册,,词语形式,下面哪个词语是AABB式？,,高高兴兴,雪白,开心,苹果,A,“高高兴兴”属于AABB式词语。,1
语文,一年级,上册,,词语搭配,下面哪个词语最适合形容西瓜？,,又高又远,又大又圆,又细又长,又快又稳,B,西瓜常常可以说“又大又圆”。,1
语文,一年级,上册,,口语交际,想借同学的铅笔，哪句话更有礼貌？,,快把铅笔给我,你别用了，我拿走,请借我一下铅笔，好吗？,铅笔本来就该给我,C,向同学借东西要用礼貌用语。,1
语文,一年级,上册,,口语交际,听别人说话时，更好的做法是什么？,,一边说一边走开,低头玩文具,抢着替别人说完,看着对方认真听,D,认真倾听是口语交际的重要习惯。,1
语文,一年级,下册,,多音字辨音,“只有一支铅笔”里的“只”应该读什么？,,zhǐ,zhī,zǐ,zī,A,表示“仅仅”的“只”读zhǐ。,2
语文,一年级,下册,,多音字辨音,“一只小鸟”里的“只”应该读什么？,,zhǐ,zhī,zī,zhē,B,作量词时，“只”读zhī。,2
语文,一年级,下册,,多音字辨音,“要想字写得好，平时就得多练习”里的第二个“得”应该读什么？,,de,dé,děi,dè,C,表示“需要、必须”时读děi。,2
语文,一年级,下册,,多音字辨音,“他写得真整齐”里的“得”应该读什么？,,děi,dé,dāi,de,D,作结构助词时读de。,2
语文,一年级,下册,,多音字辨音,“音乐课”里的“乐”应该读什么？,,yuè,lè,yào,luò,A,“音乐”的“乐”读yuè。,2
语文,一年级,下册,,多音字辨音,“今天真快乐”里的“乐”应该读什么？,,yuè,lè,luò,yào,B,表示高兴时，“乐”读lè。,2
语文,一年级,下册,,音序查字,“绿”字的音序是什么？,,N,Q,L,R,C,“绿”的音序是L。,1
语文,一年级,下册,,音序查字,“情”字的音序是什么？,,J,P,T,Q,D,“情”的音序是Q。,1
语文,一年级,下册,,音序查字,“春”字的音序是什么？,,C,Q,S,T,A,“春”的音序是C。,1
语文,一年级,下册,,音序查字,“吃”字的音序是什么？,,Q,C,S,T,B,“吃”的音序是C。,1
语文,一年级,下册,,音节认读,“进”字的音节是什么？,,jìng,jīn,jìn,jǐn,C,“进”读jìn。,1
语文,一年级,下册,,音节认读,“捉”字的音节是什么？,,zuō,zhuó,zō,zhuō,D,“捉”读zhuō。,1
语文,一年级,下册,,音节认读,“空”字的音节是什么？,,kōng,kěng,kòng,kòngg,A,“空”常读kōng。,1
语文,一年级,下册,,音序查字,用音序查字法查“那”字，先查哪个大写字母？,,L,N,M,R,B,“那”的音序是N。,1
语文,一年级,下册,,音序查字,按音序查字法查字，第一步通常先做什么？,,先数笔画,先找偏旁,先找大写字母,先想反义词,C,音序查字法第一步是找大写字母。,1
语文,一年级,下册,,音节认读,“因为”里的“因”音节是什么？,,yīng,yín,yǐn,yīn,D,“因”读yīn。,1
语文,一年级,下册,,字音辨认,下面哪个读音是翘舌音？,,zhuō,zuō,sān,cāi,A,zhuō的声母是zh，属于翘舌音。,2
语文,一年级,下册,,整体认读音节,下面哪个音节要整体认读？,,de,ye,he,le,B,ye是整体认读音节。,1
语文,一年级,下册,,音序排序,“王、陈、李、张”这几个姓里，按音序排最前面的是哪个？,,王,李,陈,张,C,陈的音序是C，比L、W、Z更靠前。,2
语文,一年级,下册,,音序查字,查“绿”字时，找到大写字母后下一步要做什么？,,直接猜意思,去找部首,重新写一遍,再找音节 lü,D,找到音序后，还要继续找音节。,2
语文,一年级,下册,,偏旁识字,“青”加上“忄”会变成哪个字？,,情,晴,清,请,A,“青”加“忄”组成“情”。,1
语文,一年级,下册,,偏旁识字,“青”加上“日”会变成哪个字？,,情,晴,清,请,B,“青”加“日”组成“晴”。,1
语文,一年级,下册,,偏旁识字,“青”加上“氵”会变成哪个字？,,情,晴,清,请,C,“青”加三点水组成“清”。,1
语文,一年级,下册,,偏旁识字,“青”加上“讠”会变成哪个字？,,情,晴,清,请,D,“青”加言字旁组成“请”。,1
语文,一年级,下册,,偏旁识字,“吃、叫、听”这几个字都带什么偏旁？,,口字旁,提手旁,三点水,木字旁,A,这些字大多和嘴巴、说话有关。,1
语文,一年级,下册,,偏旁识字,“江、河、海”这几个字都带什么偏旁？,,口字旁,三点水,女字旁,反犬旁,B,这些字都和水有关。,1
语文,一年级,下册,,偏旁识字,“拍、打、拉”这几个字都带什么偏旁？,,足字旁,日字旁,提手旁,口字旁,C,提手旁的字大多和手的动作有关。,1
语文,一年级,下册,,偏旁识字,“跑、跳、踢”这些字大多和什么有关？,,手的动作,眼睛的动作,耳朵的动作,脚的动作,D,足字旁的字大多和脚有关。,1
语文,一年级,下册,,偏旁识字,“说、话、讲”这几个字都带什么偏旁？,,言字旁,口字旁,草字头,木字旁,A,这些字多和说话有关。,1
语文,一年级,下册,,汉字结构,“进”字是什么结构？,,左右结构,半包围结构,上下结构,独体字,B,“进”属于半包围结构。,2
语文,一年级,下册,,笔顺规则,写“回”字时，先外后内，最后要怎样？,,先写里面,先写点,封口,先写右边,C,“回”字要先外后内再封口。,1
语文,一年级,下册,,笔画数,“国”字一共有几画？,,6画,7画,9画,8画,D,“国”共有8画。,2
语文,一年级,下册,,笔画数,“书”字一共有几画？,,4画,3画,5画,6画,A,“书”共有4画。,1
语文,一年级,下册,,部首辨认,“捉”字的部首是什么？,,氵,扌,口,足,B,“捉”是提手旁。,1
语文,一年级,下册,,归类识字,“姐、妈、奶”这些字都和什么有关？,,树木,天气,女子,河流,C,女字旁的字常和女子有关。,1
语文,一年级,下册,,归类识字,“江、河、海”这些字都和什么有关？,,火,土,金,水,D,三点水旁的字常和水有关。,1
语文,一年级,下册,,归类识字,“炒、烤、烧”这些字都和什么有关？,,火,水,木,风,A,火字旁的字常和火有关。,1
语文,一年级,下册,,归类识字,“蜻、蜓、蚂”这些字大多和什么有关？,,树叶,虫子,房子,石头,B,虫字旁的字多和小虫有关。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“木子李”说的是哪个姓？,,张,吴,李,许,C,“木子李”就是李姓。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“弓长张”说的是哪个姓？,,李,胡,吴,张,D,“弓长张”就是张姓。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“古月胡”说的是哪个姓？,,胡,徐,许,吴,A,“古月胡”就是胡姓。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“言午许”说的是哪个姓？,,李,许,胡,张,B,“言午许”就是许姓。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“口天吴”说的是哪个姓？,,张,徐,吴,李,C,“口天吴”就是吴姓。,1
语文,一年级,下册,,姓氏识字,《姓氏歌》里，“双人徐”说的是哪个姓？,,许,胡,吴,徐,D,“双人徐”就是徐姓。,1
